,Name,URL,Functional_Group,Popularity %,Short_Code,Duplicate,Duplicate Notes,Verified,Has_Calcification_Rates
119,Acropora microclados,https://coralnet.ucsd.edu/label/4478/,Hard coral,35,ACRmc,False,,False,False
120,Acropora microphthalma,https://coralnet.ucsd.edu/label/4479/,Hard coral,48,ACRmi,False,,False,False
121,Acropora millepora,https://coralnet.ucsd.edu/label/126/,Hard coral,68,AcrMille,False,,True,False
122,Acropora monticulosa,https://coralnet.ucsd.edu/label/2385/,Hard coral,43,AcrMon,False,,True,False
123,Acropora multiacuta,https://coralnet.ucsd.edu/label/6301/,Hard coral,18,multiacuta,False,,False,False
124,Acropora muricata,https://coralnet.ucsd.edu/label/2386/,Hard coral,69,AcrMur,False,,True,False
125,Acropora muricata bleached,https://coralnet.ucsd.edu/label/5336/,Hard coral,54,AMUR-BL,False,,False,False
126,Acropora nana,https://coralnet.ucsd.edu/label/4480/,Hard coral,40,ACRna,False,,False,False
127,Acropora nasuta,https://coralnet.ucsd.edu/label/2387/,Hard coral,47,AcrNas,False,,True,False
128,Acropora NonBranching Bleached,https://coralnet.ucsd.edu/label/5883/,Hard coral,33,ANB,False,,False,False
129,Acropora NonBranching Dead,https://coralnet.ucsd.edu/label/5884/,Hard coral,49,AND,False,,False,False
130,Acropora NonBranching Healthy,https://coralnet.ucsd.edu/label/5881/,Hard coral,60,ANH,False,,False,False
131,Acropora NonBranching Paling,https://coralnet.ucsd.edu/label/5882/,Hard coral,52,ANP,False,,False,False
132,Acropora palmata,https://coralnet.ucsd.edu/label/1769/,Hard coral,74,AcrPalm,False,,True,True
133,Acropora palmata - Bleached,https://coralnet.ucsd.edu/label/7241/,Hard coral,0,APB2,False,,False,False
134,Acropora palmerae,https://coralnet.ucsd.edu/label/6258/,Hard coral,40,palmerae,False,,False,False
135,Acropora paniculata,https://coralnet.ucsd.edu/label/6273/,Hard coral,26,paniculata,False,,False,False
136,Acropora papillare,https://coralnet.ucsd.edu/label/6267/,Hard coral,20,papillare,False,,False,False
137,Acropora pharaonis,https://coralnet.ucsd.edu/label/1546/,Hard coral,50,AcrPhar,False,,True,False
138,Acropora plate,https://coralnet.ucsd.edu/label/7288/,Hard coral,0,Acr_pl,False,,False,False
139,Acropora (plating),https://coralnet.ucsd.edu/label/606/,Hard coral,66,Acr_plat,False,,True,False
140,Acropora polystoma,https://coralnet.ucsd.edu/label/6268/,Hard coral,18,polystoma,False,,False,False
141,Acropora prolifera,https://coralnet.ucsd.edu/label/1356/,Hard coral,58,AcrPro,False,,True,True
142,Acropora pulchra,https://coralnet.ucsd.edu/label/6287/,Hard coral,18,pulchra,False,,False,False
143,Acropora pulchra - dead,https://coralnet.ucsd.edu/label/6167/,Hard coral,35,Apd,False,,False,False
144,Acropora retusa,https://coralnet.ucsd.edu/label/4323/,Hard coral,40,ARET,False,,False,False
145,Acropora robusta,https://coralnet.ucsd.edu/label/6260/,Hard coral,20,robusta,False,,False,False
146,Acropora robusta group,https://coralnet.ucsd.edu/label/1937/,Hard coral,52,Acr_rob_gr,False,,False,False
147,Acropora Robusta (RUN),https://coralnet.ucsd.edu/label/7123/,Hard coral,0,ACROROBU,False,,False,False
148,Acropora samoensis,https://coralnet.ucsd.edu/label/2382/,Hard coral,29,AcrSam,False,,True,False
149,Acropora sarmentosa,https://coralnet.ucsd.edu/label/4481/,Hard coral,28,ACRsa,False,,False,False
150,Acropora secale,https://coralnet.ucsd.edu/label/2383/,Hard coral,38,AcrSec,False,,True,False
151,Acropora selago,https://coralnet.ucsd.edu/label/6292/,Hard coral,18,selago,False,,False,False
152,Acropora Simple,https://coralnet.ucsd.edu/label/5506/,Hard coral,45,AcrSim,False,,False,False
153,Acropora solitaryensis,https://coralnet.ucsd.edu/label/6274/,Hard coral,18,solitaryen,False,,False,False
154,Acropora sp.,https://coralnet.ucsd.edu/label/1940/,Hard coral,49,Acr_spe,False,,False,False
155,Acropora_sp,https://coralnet.ucsd.edu/label/6255/,Hard coral,0,Ac_sp,False,,False,False
156,Acropora Sp1.,https://coralnet.ucsd.edu/label/1746/,Hard coral,0,ASp1,False,,False,False
157,Acropora Sp2,https://coralnet.ucsd.edu/label/1747/,Hard coral,0,ASp2,False,,False,False
158,Acropora Sp3,https://coralnet.ucsd.edu/label/1748/,Hard coral,0,ASp3,False,,False,False
159,Acropora spathulata,https://coralnet.ucsd.edu/label/2388/,Hard coral,0,AcrSpa,False,,True,False
160,Acropora speciosa,https://coralnet.ucsd.edu/label/6306/,Hard coral,14,speciosa,False,,False,False
161,Acropora spicifera,https://coralnet.ucsd.edu/label/6275/,Hard coral,18,spicifera,False,,False,False
162,Acropora spp. branching_bleached,https://coralnet.ucsd.edu/label/5420/,Hard coral,0,ASBR_BL,False,,False,False
163,Acropora spp._other,https://coralnet.ucsd.edu/label/5490/,Hard coral,44,ACRSP,False,,False,False
164,Acropora spp._other_bleached,https://coralnet.ucsd.edu/label/5491/,Hard coral,44,ACRSP_BL,False,,False,False
165,Acropora spp._staghorn,https://coralnet.ucsd.edu/label/5457/,Hard coral,53,ACSTA,False,,False,False
166,Acropora squarrosa,https://coralnet.ucsd.edu/label/2434/,Hard coral,53,AcrSqu,False,,True,False
167,Acropora striata,https://coralnet.ucsd.edu/label/6281/,Hard coral,18,striata,False,,False,False
168,Acropora subgenus Isopora,https://coralnet.ucsd.edu/label/1941/,Hard coral,43,Acr_Iso,True,Duplicate of Isopora,False,False
169,Acropora (submassive),https://coralnet.ucsd.edu/label/627/,Hard coral,75,Acr_sub,False,,True,False
170,Acropora subulata,https://coralnet.ucsd.edu/label/6293/,Hard coral,18,subulata,False,,False,False
171,Acropora sukarnoi,https://coralnet.ucsd.edu/label/6259/,Hard coral,18,sukarnoi,False,,False,False
172,Acropora surculosa,https://coralnet.ucsd.edu/label/6216/,Hard coral,40,AcrSur,False,,False,False
173,Acropora_tables_or_plates,https://coralnet.ucsd.edu/label/6920/,Hard coral,28,Acr_ta_pl,False,,False,False
174,Acropora_tabular,https://coralnet.ucsd.edu/label/4951/,Hard coral,60,acrtab,False,,False,False
175,Acropora (tabulate),https://coralnet.ucsd.edu/label/187/,Hard coral,80,Acr_tab,False,,True,True
176,Acropora tabulate (pale),https://coralnet.ucsd.edu/label/4587/,Hard coral,0,PAcr_tab,False,,False,False
177,Acropora tenella,https://coralnet.ucsd.edu/label/6307/,Hard coral,18,tenella,False,,False,False
178,Acropora tenuis,https://coralnet.ucsd.edu/label/4742/,Hard coral,56,AcrTen,False,,True,False
179,Acropora tortuosa,https://coralnet.ucsd.edu/label/3078/,Hard coral,36,AcrTort,False,,True,False
180,Acropora tumida,https://coralnet.ucsd.edu/label/6288/,Hard coral,18,tumida,False,,False,False
