,Label ID,Name,URL,Functional Group,Popularity %,Short Code,Duplicate,Duplicate Notes,Verified,Has Calcification Rates
75,602,Acropora (digitate),https://coralnet.ucsd.edu/label/602/,Hard coral,79,Acr_dig,False,,True,False
76,1411,"Acropora digitate, branches resembling finger",https://coralnet.ucsd.edu/label/1411/,Hard coral,75,BRA_DIG_Ac,False,,False,False
77,2595,Acropora digitate/finger-like Bleached,https://coralnet.ucsd.edu/label/2595/,Hard coral,0,BRA_DIG_B*,False,,False,False
78,4475,Acropora digitifera,https://coralnet.ucsd.edu/label/4475/,Hard coral,50,ACRdi,False,,False,False
79,2381,Acropora divaricata,https://coralnet.ucsd.edu/label/2381/,Hard coral,42,AcrDiv,False,,True,False
80,6277,Acropora donei,https://coralnet.ucsd.edu/label/6277/,Hard coral,26,donei,False,,False,False
81,1544,Acropora downingi,https://coralnet.ucsd.edu/label/1544/,Hard coral,64,AcrDown,False,,True,False
82,6302,Acropora echinata,https://coralnet.ucsd.edu/label/6302/,Hard coral,25,echinata,False,,False,False
83,1744,Acropora echinata1,https://coralnet.ucsd.edu/label/1744/,Hard coral,0,AE1,False,,False,False
84,1745,Acropora echinata2,https://coralnet.ucsd.edu/label/1745/,Hard coral,0,AE2,False,,False,False
85,6297,Acropora elegans,https://coralnet.ucsd.edu/label/6297/,Hard coral,25,elegans,False,,False,False
86,2384,Acropora elseyi,https://coralnet.ucsd.edu/label/2384/,Hard coral,48,AcrEls,False,,True,False
87,605,Acropora (encrusting),https://coralnet.ucsd.edu/label/605/,Hard coral,71,Acr_enc,False,,True,False
88,5025,Acropora_encrusting,https://coralnet.ucsd.edu/label/5025/,Hard coral,58,acrenc,True,Duplicate of Acropora (encrusting),False,False
89,3360,Acropora Encrusting,https://coralnet.ucsd.edu/label/3360/,Hard coral,40,ACE**,True,Duplicate of Acropora (encrusting),False,False
90,6298,Acropora exquisita,https://coralnet.ucsd.edu/label/6298/,Hard coral,26,exquisita,False,,False,False
91,149,Acropora florida,https://coralnet.ucsd.edu/label/149/,Hard coral,57,AcrFlo,False,,True,False
92,125,Acropora formosa,https://coralnet.ucsd.edu/label/125/,Hard coral,67,ACfor,True,Duplicate of Acropora muricata,False,False
93,1938,Acropora formosa (muricata) group,https://coralnet.ucsd.edu/label/1938/,Hard coral,54,Acr_f_m_gr,False,,False,False
94,2379,Acropora gemmifera,https://coralnet.ucsd.edu/label/2379/,Hard coral,56,AcrGem,False,,True,False
95,4516,Acropora gemmifera bleached,https://coralnet.ucsd.edu/label/4516/,Hard coral,0,AGEM_BL,False,,False,False
96,6271,Acropora glauca,https://coralnet.ucsd.edu/label/6271/,Hard coral,26,glauca,False,,False,False
97,5418,Acropora globiceps,https://coralnet.ucsd.edu/label/5418/,Hard coral,49,AGLO,False,,False,False
98,5419,Acropora globiceps_bleached,https://coralnet.ucsd.edu/label/5419/,Hard coral,43,AGLO_BL,False,,False,False
99,6299,Acropora gomezi,https://coralnet.ucsd.edu/label/6299/,Hard coral,26,gomezi,False,,False,False
100,6284,Acropora grandis,https://coralnet.ucsd.edu/label/6284/,Hard coral,29,grandis,False,,False,False
101,6291,Acropora granulosa,https://coralnet.ucsd.edu/label/6291/,Hard coral,26,granulosa,False,,False,False
102,601,Acropora (hispidose),https://coralnet.ucsd.edu/label/601/,Hard coral,52,Acr_hisp,False,,True,False
103,6278,Acropora hoeksemai,https://coralnet.ucsd.edu/label/6278/,Hard coral,26,hoeksemai,False,,False,False
104,6285,Acropora horrida,https://coralnet.ucsd.edu/label/6285/,Hard coral,26,horrida,False,,False,False
105,129,Acropora humilis,https://coralnet.ucsd.edu/label/129/,Hard coral,61,AcrHum,False,,True,False
106,1939,Acropora humilis group,https://coralnet.ucsd.edu/label/1939/,Hard coral,40,Acr_hum_gr,False,,False,False
107,127,Acropora hyacinthus,https://coralnet.ucsd.edu/label/127/,Hard coral,65,AcrHya,False,,True,False
108,1942,Acropora hyacinthus group,https://coralnet.ucsd.edu/label/1942/,Hard coral,45,Acr_hya_gr,False,,False,False
109,4476,Acropora intermedia,https://coralnet.ucsd.edu/label/4476/,Hard coral,59,ACRin,False,,False,False
110,6272,Acropora japonica,https://coralnet.ucsd.edu/label/6272/,Hard coral,26,japonica,False,,False,False
111,6300,Acropora kirstyae,https://coralnet.ucsd.edu/label/6300/,Hard coral,26,kirstyae,False,,False,False
112,6304,Acropora kosurini,https://coralnet.ucsd.edu/label/6304/,Hard coral,26,kosurini,False,,False,False
113,4103,Acropora latistella,https://coralnet.ucsd.edu/label/4103/,Hard coral,61,Acr_lat,False,,False,False
114,4477,Acropora listeri,https://coralnet.ucsd.edu/label/4477/,Hard coral,33,ACRli,False,,False,False
115,6286,Acropora loisetteae,https://coralnet.ucsd.edu/label/6286/,Hard coral,26,loisetteae,False,,False,False
116,7299,Acropora Lokani,https://coralnet.ucsd.edu/label/7299/,Hard coral,7,A. lokani,False,,False,False
117,6305,Acropora longicyathus,https://coralnet.ucsd.edu/label/6305/,Hard coral,26,longicyath,False,,False,False
118,2380,Acropora loripes,https://coralnet.ucsd.edu/label/2380/,Hard coral,36,AcrLor,False,,True,False
119,6269,Acropora lutkeni,https://coralnet.ucsd.edu/label/6269/,Hard coral,26,lutkeni,False,,False,False
