1,VPI_ID,VPI_label_V3,VPI_label_V4,VPI_name,Taxo_high,Fxnl_high,Fxnl_low,Name,Short Code,Functional Group,Label ID
75,74,M_mirab,M_mir,Madracis_mirabilis,Astrocoeniidae,Hard_coral,Hard_coral,Madracis mirabilis,MAMI,Hard coral,1783
76,75,Madracis_sp,Madracis_sp,Madracis_sp,Astrocoeniidae,Hard_coral,Hard_coral,Madracis,Madracis,Hard coral,387
77,76,Manicina,M_are,Manicina_areolata,Faviidae,Hard_coral,Hard_coral,Manicina areolata,MAA,Hard coral,1182
78,77,Meandrina,M_mea,Meandrina_meandrites,Meandrinidae,Hard_coral,Hard_coral,Meandrina meandrites,MM,Hard coral,1183
79,78,Millepora_sp,Millepora_sp,Millepora_sp,Milleporidae,Invertebrates,Millepora,Millepora spp.,Mil_spp,Hard coral,1976
80,79,Mussa,M_ang,Mussa_angulosa,Mussidae,Hard_coral,Hard_coral,Mussa angulosa,MUSANG,Hard coral,1365
81,80,Mycto_alici,M_ali,Mycetophyllia_aliciae,Mussidae,Hard_coral,Hard_coral,Mycetophyllia aliciae,MycetAli,Hard coral,1366
82,81,Mycto_ferox,M_fer,Mycetophyllia_ferox,Mussidae,Hard_coral,Hard_coral,Mycetophyllia ferox,MycetFer,Hard coral,1367
83,82,Mycto_lamarc,M_lam,Mycetophyllia_lamarckiana,Mussidae,Hard_coral,Hard_coral,Mycetophyllia lamarckana,MycetLam,Hard coral,1786
84,83,Mycto_sp,Mycetophyillia_sp,Mycetophyillia_sp,Mussidae,Hard_coral,Hard_coral,Mycetophyllia,Mycetophy,Hard coral,390
85,84,O_ann,O_ann,Orbicella_annularis,Faviidae,Hard_coral,Hard_coral,Orbicella annularis,OrbAnn,Hard coral,1368
86,85,O_fav,O_fav,Orbicella_faveolata,Faviidae,Hard_coral,Hard_coral,Orbicella faveolata,OrbFav,Hard coral,1369
87,86,O_frank,O_fra,Orbicella_franksi,Faviidae,Hard_coral,Hard_coral,Orbicella franksi,OrbFrank,Hard coral,1370
88,87,Oculina,O_dif,Oculina_diffusa,Oculinidae,Hard_coral,Hard_coral,Oculina diffusa,OCD,Hard coral,1787
89,88,Orbicella_sp,Orbicella_sp,Orbicella_sp,Faviidae,Hard_coral,Hard_coral,Orbicella spp.,CL-ORB,Hard coral,6643
91,90,P_astreoides,P_ast,Porites_astreoides,Poritidae,Hard_coral,Hard_coral,Porites astreoides,PorAstr,Hard coral,113
92,91,P_clivosa,P_cli,Pseudodiploria_clivosa,Faviidae,Hard_coral,Hard_coral,Pseudodiploria clivosa,PseuCliv,Hard coral,1373
93,92,P_divaricata,P_div,Porites_divaricata,Poritidae,Hard_coral,Hard_coral,Porites divaricata,PorDiv,Hard coral,1177
94,93,P_furcata,P_fur,Porites_furcata,Poritidae,Hard_coral,Hard_coral,Porites furcata,PorFurc,Hard coral,1176
95,94,P_porites,P_por,Porites_porites,Poritidae,Hard_coral,Hard_coral,Porites porites,PorPor,Hard coral,1788
96,95,Porites_sp,Porites_sp,Porites_sp,Poritidae,Hard_coral,Hard_coral,Porites,Porites,Hard coral,74
97,96,P_strigosa,P_str,Pseudodiploria_strigosa,Faviidae,Hard_coral,Hard_coral,Pseudodiploria strigosa,PseuStrig,Hard coral,1374
98,97,Palythoa,Palythoa,Palythoa_sp,Zoanthidae,Invertebrates,Zoanthid,Palythoa sp,Paly,Hard coral,419
99,98,Pavement,Pavement,Pavement,Pavement,Non_biological,Substrate,Pavement,Pavement,Hard Substrate,2513
100,99,Pseudopterog,Pseudopterog,Antillogorgia,Octocoral,Soft_coral,Soft_coral,Antillogorgia spp.,ANTSPP,Other Invertebrates,1388
101,100,Sid_rad,S_rad,Siderastrea_radians,Siderastreidae,Hard_coral,Hard_coral,Siderastrea radians,SidRad,Hard coral,1376
102,101,Sid_sid,S_sid,Siderastrea_siderea,Siderastreidae,Hard_coral,Hard_coral,Siderastrea siderea,SidSid,Hard coral,111
103,102,Sid_sp,Siderastrea_sp,Siderastrea_sp,Siderastreidae,Hard_coral,Hard_coral,Siderastrea,Siderastr,Hard coral,474
104,103,Sand,Sand,Sand,Sand,Non_biological,Substrate,Sand,Sand,Soft Substrate,84
105,104,Scolymia_sp,Scolymia_sp,Scolymia_sp,Mussidae,Hard_coral,Hard_coral,Scolymia,SCOL,Hard coral,197
106,105,Sea_fan,Sea_fan,Gorgonia_sp,Octocoral,Soft_coral,Soft_coral,Gorgonia spp.,GORSPP,Other Invertebrates,1390
107,106,Seagrass,Seagrass,Seagrass,Seagrass,Seagrass,Seagrass,Seagrass,Seagrass,Seagrass,94
108,107,Solenastrea,S_bou,Solenastrea_bournoni,Faviidae,Hard_coral,Hard_coral,Solenastrea bournoni,SOLBOU,Hard coral,1377
109,108,Stephanocoenia,S_int,Stephanocoenia_intersepta,Astrocoeniidae,Hard_coral,Hard_coral,Stephanocoenia intersepta,StephInt,Hard coral,1378
110,109,Tubastrea,Tubastrea,Tubastrea_sp,Dendrophylliidae,Hard_coral,Hard_coral,Tubastrea,Tubastrea,Hard coral,78
111,110,Tube_spng,Tube_spng,erect sponge,Sponge,Sponge,Sponge,Erect sponge,ERSP,Other Invertebrates,148
112,111,Zoanthid,Zoanthid,Zoanthus,Zoanthidae,Invertebrates,Zoanthid,Zoanthus,ZOA,Other Invertebrates,981
113,112,Calc_algae,Calc_algae,Calcareous_Algae,Calcareous_Algae,Macroalgae,Macroalgae,Calcareous algae,CALG,Algae,140
114,113,CCA,CCA,CCA,CCA,CCA,CCA,CCA,CCA1,Algae,5309
115,114,Cyano,Cyano,Cyanobacteria,Cyanophyta,Cyanobacteria,Cyanobacteria,Cyanobacteria,CYANOB,Other,2543
116,115,Dictyota,Dictyota,Dictyota,Dictyota,Macroalgae,Macroalgae,Dictyota,Dictyota,Algae,503
117,116,Halimeda,Halimeda,Halimeda,Calcareous_Algae,Macroalgae,Macroalgae,Halimeda,Halimeda,Algae,403
118,117,Lobophora,Lobophora,Lobophora,Lobophora,Macroalgae,Macroalgae,Lobophora,Lobophora,Algae,138
119,118,Encr_macro,Encr_macro,Encrusting_macroalgae,Encrusting_macroalgae,Macroalgae,Macroalgae,Encrusting_macroalgae,Encr_macro,Algae,7767
120,119,Unkn_macro,Unkn_macro,Unknown_macroalgae,Unknown_macroalgae,Macroalgae,Macroalgae,Unknown macroalgae,UnkMacroa,Algae,3591
122,121,Peyssonnelia,Peyssonnelia,Peyssonnelia_sp,Peyssonnelia_sp,Macroalgae,Macroalgae,Peyssonnelia spp.,Peyss,Algae,4441
123,122,Turf,Turf,Turf_Algae,Turf_Algae,Turf_Algae,Turf_Algae,Turf algae,Turf,Algae,82
124,123,Turf_new,Turf_new,Turf_over_recently_dead_coral,Turf_Algae,Turf_Algae,Turf_Algae,Turf overgrowing recently dead coral,Turf coral,Algae,2454
